,text,tag,raw,!stopwords,stemmed,preprocessed
0,"Добрый день! Подскажите, пожалуйста, когда и где можно будет посмотреть учебный план направления 02.03.02?",описание направлений,добрый день  подскажите  пожалуйста  когда и где можно будет посмотреть учебный план направления          ,подскажите посмотреть учебный план направления,подскаж посмотрет учебн план направлен,посмотреть учебный план направление
1,"Спасибо, постараемся успеть. Это там ,где приёмная комиссия, верно?",контакты,спасибо  постараемся успеть  это там  где приёмная комиссия  верно ,спасибо постараемся успеть приёмная комиссия верно,спасиб постара успет приемн комисс верн,спасибо постараться успевать приемный комиссия верно
2,"Почему то вернулись все заявления, поданные на направления в МАИ через Госуслуги. Телефон приемной комиссии не отвечает.",госуслуги,почему то вернулись все заявления  поданные на направления в маи через госуслуги  телефон приемной комиссии не отвечает ,вернулись заявления поданные направления госуслуги телефон приемной комиссии не отвечает,вернул заявлен пода направлен госуслуг телефон приемн комисс не отвеча,вернуться заявление направление госуслуга телефон приемная комиссия не отвечать
3,"Добрый день, подскажите пожалуйста как попасть в беседу магистратуры по прикладной математике (Если она есть)",контакты,добрый день  подскажите пожалуйста как попасть в беседу магистратуры по прикладной математике  если она есть ,подскажите попасть беседу магистратуры прикладной математике,подскаж попаст бесед магистратур прикладн математик,попадать беседа магистратура прикладной математика
4,"это важно. а как указывать приоритетный профиль? при подаче заявления давалось 5 вариантов и сын выбрал три из них. Пожалуйста, разъясните это на завтрашнем звонке.",технические проблемы,это важно  а как указывать приоритетный профиль  при подаче заявления давалось   вариантов и сын выбрал три из них  пожалуйста  разъясните это на завтрашнем звонке ,важно указывать приоритетный профиль подаче заявления давалось вариантов сын выбрал разъясните завтрашнем звонке,важн указыва приоритетн профил подач заявлен дава вариант сын выбра разъясн завтрашн звонк,важно указывать приоритетный профиль подача заявление даваться вариант сын выбирать разъяснять завтрашний звонок
5,Добрый день. Мы подавали через госуслуги и там не было указаний о приоритетном направлении. Как теперь быть?,госуслуги,добрый день  мы подавали через госуслуги и там не было указаний о приоритетном направлении  как теперь быть ,подавали госуслуги не указаний приоритетном направлении,подава госуслуг не указан приоритетн направлен,госуслуга не указание приоритетный направление
6,"Добрый день! Скажите, где можно посмотреть темы выпускных работ бакалавров и магистров направления ПМИ этого или прошлого годов?",обучение,добрый день  скажите  где можно посмотреть темы выпускных работ бакалавров и магистров направления пми этого или прошлого годов ,скажите посмотреть темы выпускных работ бакалавров магистров направления пми прошлого годов,скаж посмотрет тем выпускн работ бакалавр магистр направлен пми прошл год,посмотреть тема выпускной работа бакалавр магистр направление пми прошлое год
7,"Добрый вечер! Правильно ли я понимаю, что 8 институт включает в себя специальности: 01.03.00, 01.03.02, 01.03.04 и 02.03.02?",описание направлений,добрый вечер  правильно ли я понимаю  что   институт включает в себя специальности                               и          ,правильно понимаю институт включает специальности,правильн понима институт включа специальн,правильно понимать институт включать специальность
8,а когда будет рассказ про учебный план?,описание направлений,а когда будет рассказ про учебный план ,рассказ учебный план,рассказ учебн план,рассказ учебный план
9,"Проверьте, пожалуйста, почему нет в списках снилс 19972344026",конкурсные списки,проверьте  пожалуйста  почему нет в списках снилс            ,проверьте нет списках снилс,проверьт нет списк снилс,проверять нет список снилс
