text,tag
"Добрый день! Подскажите, пожалуйста, когда и где можно будет посмотреть учебный план направления 02.03.02?",описание направлений
"Спасибо, постараемся успеть. Это там ,где приёмная комиссия, верно?",контакты
"Почему то вернулись все заявления, поданные на направления в МАИ через Госуслуги. Телефон приемной комиссии не отвечает.",госуслуги
"Добрый день, подскажите пожалуйста как попасть в беседу магистратуры по прикладной математике (Если она есть)",контакты
"это важно. а как указывать приоритетный профиль? при подаче заявления давалось 5 вариантов и сын выбрал три из них. Пожалуйста, разъясните это на завтрашнем звонке.",технические проблемы
Добрый день. Мы подавали через госуслуги и там не было указаний о приоритетном направлении. Как теперь быть?,госуслуги
"Добрый день! Скажите, где можно посмотреть темы выпускных работ бакалавров и магистров направления ПМИ этого или прошлого годов?",обучение
"Добрый вечер! Правильно ли я понимаю, что 8 институт включает в себя специальности: 01.03.00, 01.03.02, 01.03.04 и 02.03.02?",описание направлений
а когда будет рассказ про учебный план?,описание направлений
"Проверьте, пожалуйста, почему нет в списках снилс 19972344026",конкурсные списки
"Подскажите, пожалуйста. А в дальнейшем можно переводиться внутри института на другое направление? Например с 02.03.02 на 01.03.02? По ошибке выбрали только 1 направление.",обучение
Какие изучаются языки программирования. На слайдах название питона только увидел,обучение
"Добрый день! Подскажите,пожалуйста, у нас в списках с одним абитуриентом одинаковое количество баллов и отдельно по предметам тоже одинаково, в этом же случае считается средний балл аттестат? Если это так,то в этом файле средний балл аттестата подсчитан или это будет уже в ранжированных списках считаться?",порядок приема
"Как это сделать лучше позвонить в приёмную комиссию? Проблема, что мы не можем отозвать через госуслуги.",госуслуги
"Добрый день, скажите, пож-та,  сколько раз в неделю пары по английскому языку и  есть возможность посещать   доп. занятия, платно/бесплатно?",обучение
"Здравствуйте, какие условия получения общежития?",общежитие
"Реально ли получить общежитие, если прописан в ближ. Подмосковье?",общежитие
будет ли проходится тфкп на матанализе? просто инетерсно,обучение
Кому выдаётся улучшенное общежитие?,общежитие
Просто интересно кому дают улучшенное,общежитие
"Добрый день! Подскажите,пожалуйста, поставили случайно галку на общежитие при подаче документов лично,снять в личном кабинете не получилось, звонили в приёмную комиссию у них тоже не получилось снять её. Как быть в этой ситуации?",технические проблемы
"Извините, а вот есть вопрос по поводу скорее учебного плана. Правильно я понимаю, что если я запишусь в спортивную секцию, то я могу не посещать физкультуру? Или как это работает?",обучение
Какие спортсекции есть?,обучение
"Здравствуйте!На сайте МАИ появились ранжированные списки ,но когда они заработают?Есть ли информация ?",конкурсные списки
"Доброе утро. Учитывается ли в ИД участие в заключительном этапе олимпиады Физтеха по математике? В Информации о порядке учета индивидуальных достижений поступающих есть п. 8 Таблицы 1, который позволяет  учитывать участие в мероприятиях из Перечня, утв.МинПросвещения",индивидуальные достижения
"Скажите, а договор и квитанцию на оплату как можно получить (онлайн и лично)?",квота
"Как попасть на участие в конкурсе на платное, если уже участвуешь в конкурсе на бюджет (через ЛК)? Количество платных мест ограничено? Интересует 01.03.02, 01.03.04 и 02.03.02. Договор оформляется лично или можно онлайн?",квота
"Здравствуйте, подскажите почему на направление 01.03.00 Компьютерные науки и прикладная математика (Бюджет) написано, что всего мест 225, хотя изначально писали, что набор 250 мест?",технические проблемы
И ещё 1 вопрос: будут ли кафедры претерпевать изменения в этом году? Особенно интересует 806 информатика,обучение
А почему я не могу найти в ранжированных списках специальность 24.05.05,конкурсные списки
"Здравствуйте! Подали заявление через Госуслуги. Пришел отказ по всем направлениям. Однако увидела себя в рейтинге на ФИИТ в файле. Надо ли подавать заявления заново? И второй вопрос - как подать и какое направление выбрать на Госуслугах, чтобы подать заявление на бюджет на КНиПМ?",госуслуги
"Здравствуйте, хотел бы узнать, можно ли подать параллельно с заявлением на бюджет заявление на платное? Что нужно будет сделать с заявлением на платное, при проходе на бюджет? Где посмотреть количество платных мест на интересующие направления?",квота
"Здравствуйте, подал на КНиПМ. Интересует только кафедра 806. По какому принципу идёт распределение по кафедрам и как мне попасть именно туда?",распределение по кафедрам
"Подскажите, как записаться в приёмную комиссию подать  оригинал аттестата?",контакты
Добрый день! Возможен ли перевод в процессе обучения между институтами 1 и 8?),обучение
"Извините, а куда идти? Подошёл в приёмную комиссию, внутрь без паспорта не впускают, никого нет. Что делать?",контакты
Никого нет. Куда идти?,контакты
"Добрый день. Подавали докоменты через госуслуги. Хотели отредактировать, но на госуслугах нет ни ПИ ни ПМИ бюджет, только платно предлагают. Нет Компьютерных наук. Как на госуслугах выбрать 8 институт. Мы выбрали только ФИИТ, но там 50 мест, хотим, где 250.",госуслуги
"Заявление отредактировал, отправила. Когда заходишь обратно, то заявление без изменений. Вообще не видно, что что-то менялось.",технические проблемы
"Здравствуйте, можно ли будет перевестись с платного на бюджет после первого семестра, при наличии освободившихся мест и хорошо сданной сессии, или перевод возможен только между курсами?",обучение
"Подскажите ещё, пожалуйста, после изменения направления на госуслугах, теперь статус заявления ""необходимо исправление"". Исправление с вашей стороны?",госуслуги
"Насколько я поняла, что подача согласий через госуслуги это право, а не обязанность.",госуслуги
"Добрый день, где-нибудь можно найти характеристики учебных курсов?",описание направлений
"Если уже отнес оригинал и согласие на ФИИТ, можно ли будет дистанционно перевести документ на КН и ПМ?",документы
"Здравствуйте, какой был в прошлом году балл на получение общежития?",общежитие
Здравствуйте! А где можно найти актуальный учебный план пми? На сайте есть только за 2017-2018.,описание направлений
"Здравствуйте! А если общая квота вся займётся, но у людей в роскосмосе, которые не прошли, баллов больше, чем у людей из общей квоты. То из роскосмоса люди переводятся в общую квоту или нет?",квота
"Скажите, а где нужно указать этот приоритетный профиль? Сейчас уже в личном кабинете это можно сделать или нужно потом специально писать какое-то заявление?",распределение по кафедрам
А на что влияет приоритет? Ведь согласие можно подать на любое направление?,порядок приема
Где указать этот приоритет? В заявлении на приём  в личном кабинете?,распределение по кафедрам
